old_name,number,ch1,ch2,wire,load,connect,arc,start_time_s,end_time_s
20251029T125914_abbwithoutdcarbon_hallrog_res700peakarc_lowsens,22,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T130018_abbwithoutdcarbon_hallrog_res800peaknoarc_lowsens,23,10,CWT,solidsingle,R,1,0,-0.1,0.1
20251029T130154_abbwithoutdcarbon_hallrog_res800peakarc_lowsens,24,10,CWT,solidsingle,R,1,1,-0.1,0.1
20251029T131645_abbwithoutdcarbon_brownmutihallrog_res800peakarc_lowsens,25,10,CWT,multi,R,1,1,-0.1,0.1
20251029T133538_abbwithoutdcarbon_brownmutihallrog_res900peakarc_lowsens,26,10,CWT,multi,R,1,1,-0.1,0.1
20251029T133702_abbwithoutdcarbon_brownmutihallrog_res500peakarc_lowsens,27,10,CWT,multi,R,1,1,-0.1,0.1
20251029T133938_abbwithoutdcarbon_brownmutihallrog_res250peakarc_lowsens,28,10,CWT,multi,R,1,1,-0.1,0.1
20251029T134008_abbwithoutdcarbon_brownmutihallrog_res250peaknoarc_lowsens,29,10,CWT,multi,R,1,0,-0.1,0.1
20251029T135903_abbwithoutdcarbon_brownmutihallrog_resandin900peaknoarc_lowsens,30,10,CWT,multi,RL,1,0,-0.1,0.1
20251029T140014_abbwithoutdcarbon_brownmutihallrog_resandin900peakarc_lowsens,31,10,CWT,multi,RL,1,1,-0.1,0.1
20251029T140556_abbwithoutdcarbon_brownmutihallrog_resandin800peakarc_lowsens,32,10,CWT,multi,RL,1,1,-0.1,0.1
20251029T140754_abbwithoutdcarbon_brownmutihallrog_resandin700peakarc_lowsens,33,10,CWT,multi,RL,1,1,-0.1,0.1
20251029T140817_abbwithoutdcarbon_brownmutihallrog_resandin700peaknoarc_lowsens,34,10,CWT,multi,RL,1,0,-0.1,0.1
20251029T142036_longsocketwithoutdcarbon_brownmutihallrog_resandin800peaknoarc_lowsens,35,10,CWT,multi,RL,3,0,-0.1,0.1
20251029T143702_shortsocketwithoutdcarbon_brownsinglehallrog_resandin800peaknoarc_lowsens,36,10,CWT,solidsingle,RL,4,0,-0.1,0.1
20251029T144829_shortsocketwithdcarbon_brownsinglehallrog_resandin800peakarc_lowsens,37,10,CWT,solidsingle,RL,4,1,-0.1,0.1
20251029T145721_shortsocketwithdcarbon_brownsinglehallrog_res800peakarc_lowsens,38,10,CWT,solidsingle,R,4,1,-0.1,0.04
20251029T152740_shortsocketwithoutdcarbon_bluemultihallrog_res1000peakarc_lowsens,39,10,CWT,multi,R,4,1,-0.1,0.1
20251029T152820_shortsocketwithoutdcarbon_bluemultihallrog_res1000peaknoarc_lowsens,40,10,CWT,multi,R,4,0,-0.1,0.1
20251029T152937_shortsocketwithoutdcarbon_bluemultihallrog_resandindu1250peaknoarc_lowsens,41,10,CWT,multi,RL,4,0,-0.1,0.1
20251029T153048_shortsocketwithoutdcarbon_bluemultihallrog_resandindu1250peakarc_lowsens,42,10,CWT,multi,RL,4,1,-0.1,0.1
20251029T153254_shortsocketwithoutdcarbon_bluemultihallrog_resandindu800peakarc_lowsens,43,10,CWT,multi,RL,4,1,-0.1,0.1
20251029T153340_shortsocketwithoutdcarbon_bluemultihallrog_resandindu800peaknoarc_lowsens,44,10,CWT,multi,RL,4,0,-0.1,0.1
20251029T153452_shortsocketwithoutdcarbon_bluemultihallrog_resandindu800peakarc_lowsens,45,10,CWT,multi,RL,4,1,-0.1,0.1
20251029T153633_shortsocketwithoutdcarbon_bluemultihallrog_resandindu1000peaknoarc_lowsens,46,10,CWT,multi,RL,4,0,-0.1,0.1
20251029T153720_shortsocketwithoutdcarbon_bluemultihallrog_resandindu1000peakarc_lowsens,47,10,CWT,multi,RL,4,1,-0.1,0.1
20251030T173222_wireends_grylmanyhallrog_resarc_wcarbon,48,10,CWT,solidsingle,R,5,1,-0.1,0.1
20251030T174714_wireends_grylmanyhallrog_resarc_carbongone_2cyc,49,10,CWT,solidsingle,R,5,1,0.01,0.06
20251030T175253_wireends_grylmanyhallrog_computer,50,100,CWT,solidsingle,comp,5,1,-0.2,0.0
20251030T175606_wireends_grylmanyhallrog_computer_arc_longtime,51,100,CWT,solidsingle,comp,5,1,-0.5,0.25
20251030T180114_wireends_grylmanyhallrog_computer_arc,52,100,CWT,solidsingle,comp,5,1,0.0,0.06
20251030T191430_socketunknownsolidwire_grylmanyhallrog_res_arc,53,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T120647_socketunknownsolidwire_grylmanyhallrog_res500_arc,54,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T122622_socketunknownsolidwire_grylmanyhallrog_resinduc150_arc,55,10,CWT,solidsingle,RL,6,1,-0.04,0.1
20251104T125953_socketunknownsolidwire_grylmanyhallrog_resinduc170_arc,56,10,CWT,solidsingle,RL,6,1,-0.1,0.1
20251104T130120_socketunknownsolidwire_grylmanyhallrog_res160_arc,57,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T130242_socketunknownsolidwire_grylmanyhallrog_res800_arc,58,10,CWT,solidsingle,R,6,1,-0.1,0.0
20251104T130338_socketunknownsolidwire_grylmanyhallrog_res1250_arc,59,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T130445_socketunknownsolidwire_grylmanyhallrog_res1000_arc,60,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T131353_socketunknownsolidwire_grylmanyhallrog_res850_arc,61,10,CWT,solidsingle,R,6,1,-0.1,0.1
20251104T132823_socketunknownsolidwire_grylmanyhallrog_computer1000_arc,62,10,CWT,solidsingle,comp,6,1,-0.1,0.02
20251104T133058_socketunknownsolidwire_grylmanyhallrog_computer750_arc,63,10,CWT,solidsingle,comp,6,1,-0.1,0.1
20251104T133202_socketunknownsolidwire_grylmanyhallrog_computer500_arc,64,10,CWT,solidsingle,comp,6,1,-0.1,0.1
20251104T133339_eljosolidwire_grylmanyhallrog_res600_arc,65,10,CWT,solidsingle,R,2,1,-0.1,0.1
20251104T133446_eljosolidwire_grylmanyhallrog_res1000_arc,66,10,CWT,solidsingle,R,2,1,-0.1,0.1
20251104T133554_eljosolidwire_grylmanyhallrog_res750_arc,67,10,CWT,solidsingle,R,2,1,-0.1,0.1
20251104T133646_eljosolidwire_grylmanyhallrog_res1250_arc,68,10,CWT,solidsingle,R,2,1,-0.1,0.1
20251104T133748_eljosolidwire_grylmanyhallrog_resinduc1500_arc,69,10,CWT,solidsingle,RL,2,1,-0.1,0.1
20251104T133836_eljosolidwire_grylmanyhallrog_resinduc1000_arc,70,10,CWT,solidsingle,RL,2,1,-0.1,0.1
20251104T134026_eljosolidwire_grylmanyhallrog_resinduc750_arc,71,10,CWT,solidsingle,RL,2,1,-0.1,0.1
20251104T153820_eljosolidwire_grylmanyhallrog_computer500_arc,72,10,CWT,solidsingle,comp,2,1,-0.1,0.04
20251104T163646_longsocketsolidwire_grylmanyhallrog_res1000_arc,73,10,CWT,solidsingle,R,3,1,-0.05,0.1
20251104T163930_longsocketsolidwire_grylmanyhallrog_res1000_noarc,74,10,CWT,solidsingle,R,3,0,-0.1,0.1
20251104T175645_connectortsolidwire_grylmanyhallrog_res1000_noarc,75,10,CWT,solidsingle,R,10,0,-0.02,0.1
20251105T131144_coppersocketsolidwire_grylmanyhallrog_res1000_noarc,76,10,CWT,solidsingle,R,7,0,-0.1,0.1
20251105T131647_coppersocketsolidwire_grylmanyhallrog_res1000_arc,77,10,CWT,solidsingle,R,7,1,-0.1,0.1
20251105T131835_coppersocketsolidwire_grylmanyhallrog_res800_arc,78,10,CWT,solidsingle,R,7,1,-0.1,0.1
20251105T133455_pencilsolidwire_hallrog_res800_arc_rpt,79,10,CWT,solidsingle,R,8,1,-0.1,0.1
20251105T133639_pencilsolidwire_hallrog_res800_arc_rpt2cont,80,10,CWT,solidsingle,R,8,1,-0.1,0.1
20251105T140637_coppersocketinsidesolidwire_hallrog_res800_arc,81,10,CWT,solidsingle,R,7,1,-0.02,0.08
20251105T140819_coppersocketinsidesolidwire_hallrog_res800_noarc,82,10,CWT,solidsingle,R,7,0,-0.1,0.1
20251105T143434_coppersocketinsidesolidwire_hallrog_res1000_noarc,83,10,CWT,solidsingle,R,7,0,-0.1,0.1
20251105T143658_coppersocketinsidesolidwire_hallrog_res1000_arc,84,10,CWT,solidsingle,R,7,1,-0.1,0.1
20251105T143918_coppersocketinsidesolidwire_hallrog_res600_arc,85,10,CWT,solidsingle,R,7,1,-0.1,0.1
20251105T144021_coppersocketinsidesolidwire_hallrog_res400_arc,86,10,CWT,solidsingle,R,7,1,-0.1,0.1
20251105T144057_coppersocketinsidesolidwire_hallrog_resandinduc800_noarc,87,10,CWT,solidsingle,RL,7,0,-0.1,0.1
20251105T144149_coppersocketinsidesolidwire_hallrog_resandinduc800_arc,88,10,CWT,solidsingle,RL,7,1,-0.1,0.05
20251105T144456_coppersocketinsidesolidwire_hallrog_resandinduc1000_arc,89,10,CWT,solidsingle,RL,7,1,-0.1,0.1
20251105T144919_coppersocketinsidesolidwire_hallrog_resandinduc1200_arc,90,10,CWT,solidsingle,RL,7,1,-0.1,0.04
20251105T145012_coppersocketinsidesolidwire_hallrog_resandinduc600_arc,91,10,CWT,solidsingle,RL,7,1,-0.1,0.1
20251105T145157_coppersocketinsidesolidwire_hallrog_resandinduc1100_arc,92,10,CWT,solidsingle,RL,7,1,-0.1,0.04
20251105T145711_steelsocketinsidesolidwire_hallrog_resandinduc1350_noarc,93,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150242_steelsocketinsidesolidwire_hallrog_resandinduc1500_noarc,94,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150301_steelsocketinsidesolidwire_hallrog_resandinduc1000_noarc,95,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150408_steelsocketinsidesolidwire_hallrog_resandinduc900_noarc,96,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150431_steelsocketinsidesolidwire_hallrog_resandinduc800_noarc,97,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150458_steelsocketinsidesolidwire_hallrog_resandinduc750_noarc,98,10,CWT,solidsingle,RL,9,0,-0.1,0.1
20251105T150543_steelsocketinsidesolidwire_hallrog_res500_noarc,99,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251105T150615_steelsocketinsidesolidwire_hallrog_res700_noarc,100,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251105T150646_steelsocketinsidesolidwire_hallrog_res850_noarc,101,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251105T150713_steelsocketinsidesolidwire_hallrog_res1000_noarc,102,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251105T150743_steelsocketinsidesolidwire_hallrog_res1200_noarc,103,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251105T150810_steelsocketinsidesolidwire_hallrog_res1500_noarc,104,10,CWT,solidsingle,R,9,0,-0.1,0.1
20251106T123855_steelsocketinsidesolidwire_hallrog_res900_arc,105,10,CWT,solidsingle,R,9,1,-0.03,0.1
20251106T124039_steelsocketinsidesolidwire_hallrog_res1000_arc,106,10,CWT,solidsingle,R,9,1,-0.1,0.1
20251106T124131_steelsocketinsidesolidwire_hallrog_res700_arc,107,10,CWT,solidsingle,R,9,1,-0.1,0.02
20251106T124331_steelsocketinsidesolidwire_hallrog_res600_arc,108,10,CWT,solidsingle,R,9,1,0.0,0.1
20251106T124425_steelsocketinsidesolidwire_hallrog_res500_arc,109,10,CWT,solidsingle,R,9,1,-0.1,0.1
20251106T124507_steelsocketinsidesolidwire_hallrog_res1200_arc,110,10,CWT,solidsingle,R,9,1,-0.1,0.1
20251106T124846_steelsocketinsidesolidwire_hallrog_res1100_arc,111,10,CWT,solidsingle,R,9,1,-0.1,0.1
20251106T125504_steelsocketinsidesolidwire_hallrog_resandinduc1100_arc,112,10,CWT,solidsingle,RL,9,1,-0.1,0.06
20251106T130117_steelsocketinsidesolidwire_hallrog_resandinduc1000_arc,113,10,CWT,solidsingle,RL,9,1,-0.1,-0.02
20251106T132426_connectorsolidwire_hallrog_res500_noarc,114,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132445_connectorsolidwire_hallrog_res600_noarc,115,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132535_connectorsolidwire_hallrog_res700_noarc,116,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132604_connectorsolidwire_hallrog_res900_noarc,117,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132623_connectorsolidwire_hallrog_res1000_noarc,118,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132700_connectorsolidwire_hallrog_res1200_noarc,119,10,CWT,solidsingle,R,10,0,-0.1,0.1
20251106T132824_connectorsolidwire_hallrog_res1200_arc,120,10,CWT,solidsingle,R,10,1,-0.1,0.05
20251106T132931_connectorsolidwire_hallrog_res1000_arc,121,10,CWT,solidsingle,R,10,1,-0.1,0.1
20251106T133622_connectorsolidwire_hallrog_res900_arc,122,10,CWT,solidsingle,R,10,1,-0.07,0.1
20251106T133727_connectorsolidwire_hallrog_res700_arc,123,10,CWT,solidsingle,R,10,1,-0.07,0.1
20251106T133916_connectorsolidwire_hallrog_res600_arc,124,10,CWT,solidsingle,R,10,1,-0.1,0.04
20251106T134837_connectorsolidwire_hallrog_resandinduc1000_arc,125,10,CWT,solidsingle,RL,10,1,-0.1,0.1
20251106T134938_connectorsolidwire_hallrog_resandinduc800_arc,126,10,CWT,solidsingle,RL,10,1,-0.08,0.1
20251106T141207_connectorsolidwire_hallrog_resandinduc900_arc,127,10,CWT,solidsingle,RL,10,1,-0.1,0.1
20251106T141257_connectorsolidwire_hallrog_resandinduc1100_arc,128,10,CWT,solidsingle,RL,10,1,-0.04,0.1
20251110T153034_singleconnectorsolidwire_hallrog_resandinduc1100_noarc,129,10,CWT,solidsingle,RL,11,0,0.1,0.1
20251110T155831_singleconnectorsolidwire_hallrog_resandinduc1100_arc,130,10,CWT,solidsingle,RL,11,1,0.1,0.1
20251110T155909_singleconnectorsolidwire_hallrog_resandinduc1000_noarc,131,10,CWT,solidsingle,RL,11,0,0.1,0.1
20251110T161109_singleconnectorsolidwire_hallrog_resandinduc900_noarc,132,10,CWT,solidsingle,RL,11,0,0.1,0.1
20251110T161154_singleconnectorsolidwire_hallrog_resandinduc900_arc,133,10,CWT,solidsingle,RL,11,1,-0.04,0.1
20251110T161228_singleconnectorsolidwire_hallrog_resandinduc700_noarc,134,10,CWT,solidsingle,RL,11,0,-0.1,0.1
20251110T161603_singleconnectorsolidwire_hallrog_res500_noarc,135,10,CWT,solidsingle,R,11,0,-0.1,0.1
20251110T162349_singleconnectorsolidwire_hallrog_res500_arc,136,10,CWT,solidsingle,R,11,1,-0.01,0.1
20251110T162423_singleconnectorsolidwire_hallrog_res750_noarc,137,10,CWT,solidsingle,R,11,0,-0.1,0.1
20251110T162714_singleconnectorsolidwire_hallrog_res750_arc,138,10,CWT,solidsingle,R,11,1,-0.1,0.08
20251110T162752_singleconnectorsolidwire_hallrog_res900_noarc,139,10,CWT,solidsingle,R,11,0,-0.1,0.1
20251110T162830_singleconnectorsolidwire_hallrog_res900_arc,140,10,CWT,solidsingle,R,11,1,-0.1,0.06
20251110T162854_singleconnectorsolidwire_hallrog_res1000_noarc,141,10,CWT,solidsingle,R,11,0,-0.1,0.1
20251110T163000_singleconnectorsolidwire_hallrog_res1000_arc,142,10,CWT,solidsingle,R,11,1,-0.08,0.1
20251110T163030_singleconnectorsolidwire_hallrog_res1200_noarc,143,10,CWT,solidsingle,R,11,0,-0.1,0.1
20251110T163127_singleconnectorsolidwire_hallrog_res1200_arc,144,10,CWT,solidsingle,R,11,1,-0.05,0.07
20251110T163202_orangeconnectorsolidwire_hallrog_res1200_noarc,145,10,CWT,solidsingle,R,12,0,-0.1,0.1
20251110T164457_orangeconnectorsolidwire_hallrog_res1200_arc,146,10,CWT,solidsingle,R,12,1,-0.1,0.06
20251110T164523_orangeconnectorsolidwire_hallrog_res1000_noarc,147,10,CWT,solidsingle,R,12,0,-0.1,0.1
20251110T164611_orangeconnectorsolidwire_hallrog_res1000_arc,148,10,CWT,solidsingle,R,12,1,-0.1,0.1
20251110T164754_orangeconnectorsolidwire_hallrog_res800_arc,149,10,CWT,solidsingle,R,12,1,-0.1,0.1
20251110T165231_orangeconnectorsolidwire_hallrog_res500_noarc,150,10,CWT,solidsingle,R,12,0,-0.1,0.1
20251110T165410_orangeconnectorsolidwire_hallrog_res500_arc,151,10,CWT,solidsingle,R,12,1,-0.1,0.1
20251110T165456_orangeconnectorsolidwire_hallrog_resandinduc900_noarc,152,10,CWT,solidsingle,RL,12,0,-0.1,0.1
20251110T165940_orangeconnectorsolidwire_hallrog_resandinduc900_arc,153,10,CWT,solidsingle,RL,12,1,-0.02,0.1
20251110T170011_orangeconnectorsolidwire_hallrog_resandinduc1000_noarc,154,10,CWT,solidsingle,RL,12,0,-0.1,0.1
20251110T170050_orangeconnectorsolidwire_hallrog_resandinduc1000_arc,155,10,CWT,solidsingle,RL,12,1,-0.1,0.1
20251110T170123_orangeconnectorsolidwire_hallrog_resandinduc1200_noarc,156,10,CWT,solidsingle,RL,12,0,-0.1,0.1
20251110T170251_orangeconnectorsolidwire_hallrog_resandinduc1200_arc,157,10,CWT,solidsingle,RL,12,1,-0.1,0.1
20251111T145605_orangeconnectorsolidwire_hallrog_resandinduc1100_noarc,158,10,CWT,solidsingle,RL,12,0,-0.1,0.1
20251111T145654_orangeconnectorsolidwire_hallrog_resandinduc1100_arc,159,10,CWT,solidsingle,RL,12,1,-0.1,0.1
20251111T145827_orangeconnectorsolidwire_hallrog_resandinduc1300_noarc,160,10,CWT,solidsingle,RL,12,0,-0.1,0.1
20251111T145911_orangeconnectorsolidwire_hallrog_resandinduc1300_arc,161,10,CWT,solidsingle,RL,12,1,-0.1,0.1
20251111T150533_protect1solidwire_hallrog_res1000_noarc,162,10,CWT,solidsingle,R,13,0,-0.1,0.1
20251111T155828_protect1solidwire_hallrog_res1200_noarc,163,10,CWT,solidsingle,R,13,0,-0.1,0.1
20251111T155856_protect1solidwire_hallrog_res1200_arc,164,10,CWT,solidsingle,R,13,1,-0.1,0.1
20251111T160010_protect1solidwire_hallrog_res900_arc,165,10,CWT,solidsingle,R,13,1,-0.01,0.1
20251111T160037_protect1solidwire_hallrog_res700_noarc,166,10,CWT,solidsingle,R,13,0,-0.1,0.1
20251111T160115_protect1solidwire_hallrog_res700_arc,167,10,CWT,solidsingle,R,13,1,-0.1,0.1
20251111T160153_protect1solidwire_hallrog_res600_noarc,168,10,CWT,solidsingle,R,13,0,-0.1,0.1
20251111T160336_protect1solidwire_hallrog_resandinduc1000_noarc,169,10,CWT,solidsingle,RL,13,0,-0.1,0.1
20251111T160439_protect1solidwire_hallrog_resandinduc1000_arc,170,10,CWT,solidsingle,RL,13,1,-0.1,0.04
20251111T160510_protect1solidwire_hallrog_resandinduc800_noarc,171,10,CWT,solidsingle,RL,13,0,-0.1,0.1
20251111T160548_protect1solidwire_hallrog_resandinduc800_arc,172,10,CWT,solidsingle,RL,13,1,-0.1,0.1
20251111T160636_protect1solidwire_hallrog_resandinduc1100_noarc,173,10,CWT,solidsingle,RL,13,0,-0.1,0.1
20251111T160739_protect1solidwire_hallrog_resandinduc1100_arc,174,10,CWT,solidsingle,RL,13,1,-0.1,0.04
20251111T161750_protect2solidwire_hallrog_resandinduc1100_noarc,175,10,CWT,solidsingle,RL,14,0,-0.1,0.1
20251111T161850_protect2solidwire_hallrog_resandinduc1100_arc,176,10,CWT,solidsingle,RL,14,1,-0.1,0.1
20251111T161916_protect2solidwire_hallrog_resandinduc1000_noarc,177,10,CWT,solidsingle,RL,14,0,-0.1,0.1
20251111T161947_protect2solidwire_hallrog_resandinduc1000_arc,178,10,CWT,solidsingle,RL,14,1,0.08,0.1
20251111T162015_protect2solidwire_hallrog_resandinduc900_noarc,179,10,CWT,solidsingle,RL,14,0,-0.1,0.1
20251111T162043_protect2solidwire_hallrog_resandinduc900_arc,180,10,CWT,solidsingle,RL,14,1,-0.1,0.1
20251111T162114_protect2solidwire_hallrog_resandinduc800_noarc,181,10,CWT,solidsingle,RL,14,0,-0.1,0.1
20251111T162212_protect2solidwire_hallrog_resandinduc800_arc,182,10,CWT,solidsingle,RL,14,1,-0.1,0.1
20251111T162439_protect2solidwire_hallrog_res500_noarc,183,10,CWT,solidsingle,R,14,0,-0.1,0.1
20251111T162523_protect2solidwire_hallrog_res500_arc,184,10,CWT,solidsingle,R,14,1,-0.1,0.06
20251111T162554_protect2solidwire_hallrog_res700_noarc,185,10,CWT,solidsingle,R,14,0,-0.1,0.1
20251111T162712_protect2solidwire_hallrog_res700_arc,186,10,CWT,solidsingle,R,14,1,-0.1,0.1
20251111T162737_protect2solidwire_hallrog_res900_noarc,187,10,CWT,solidsingle,R,14,0,-0.1,0.1
20251111T162910_protect2solidwire_hallrog_res900_arc,188,10,CWT,solidsingle,R,14,1,-0.07,0.1
20251111T162937_protect2solidwire_hallrog_res1100_noarc,189,10,CWT,solidsingle,R,14,0,-0.1,0.1
20251111T163002_protect2solidwire_hallrog_res1100_arc,190,10,CWT,solidsingle,R,14,1,-0.1,0.1
20251111T163036_protect2solidwire_hallrog_res1300_noarc,191,10,CWT,solidsingle,R,14,0,-0.1,0.1
20251111T163201_protect2solidwire_hallrog_res1300_arc,192,10,CWT,solidsingle,R,14,1,-0.1,0.1
20251111T163248_protect3solidwire_hallrog_res1200_noarc,193,10,CWT,solidsingle,R,15,0,-0.1,0.1
20251111T163411_protect3solidwire_hallrog_res1200_arc,194,10,CWT,solidsingle,R,15,1,-0.1,0.1
20251111T163439_protect3solidwire_hallrog_res1000_noarc,195,10,CWT,solidsingle,R,15,0,-0.1,0.1
20251111T163507_protect3solidwire_hallrog_res1000_arc,196,10,CWT,solidsingle,R,15,1,-0.1,0.1
20251111T163558_protect3solidwire_hallrog_res900_noarc,197,10,CWT,solidsingle,R,15,0,-0.1,0.1
20251111T163722_protect3solidwire_hallrog_res900_arc,198,10,CWT,solidsingle,R,15,1,-0.05,0.1
20251111T163758_protect3solidwire_hallrog_res700_noarc,199,10,CWT,solidsingle,R,15,0,-0.1,0.1
20251111T164017_protect3solidwire_hallrog_resandinduc1000_noarc,200,10,CWT,solidsingle,RL,15,0,-0.1,0.1
20251111T164229_protect3solidwire_hallrog_resandinduc1000_arc,201,10,CWT,solidsingle,RL,15,1,-0.1,0.1
20251111T164258_protect3solidwire_hallrog_resandinduc1200_noarc,202,10,CWT,solidsingle,RL,15,0,-0.1,0.1
20251111T164356_protect3solidwire_hallrog_resandinduc1200_arc,203,10,CWT,solidsingle,RL,15,1,-0.1,0.1
20251111T164425_protect3solidwire_hallrog_resandinduc900_noarc,204,10,CWT,solidsingle,RL,15,0,-0.1,0.1
20251111T164507_protect3solidwire_hallrog_resandinduc900_arc,205,10,CWT,solidsingle,RL,15,1,-0.06,0.0
20251111T165020_protect4solidwire_hallrog_resandinduc1000_noarc,206,10,CWT,solidsingle,RL,16,0,-0.1,0.1
20251111T165523_protect4solidwire_hallrog_resandinduc1000_arc,207,10,CWT,solidsingle,RL,16,1,-0.04,0.1
20251111T165549_protect4solidwire_hallrog_resandinduc1100_noarc,208,10,CWT,solidsingle,RL,16,0,-0.1,0.1
20251111T165619_protect4solidwire_hallrog_resandinduc1100_arc,209,10,CWT,solidsingle,RL,16,1,-0.1,0.1
20251111T165645_protect4solidwire_hallrog_resandinduc1200_noarc,210,10,CWT,solidsingle,RL,16,0,-0.1,0.1
20251111T165713_protect4solidwire_hallrog_resandinduc1200_arc,211,10,CWT,solidsingle,RL,16,1,-0.1,0.1
20251111T165741_protect4solidwire_hallrog_resandinduc900_noarc,212,10,CWT,solidsingle,RL,16,0,-0.1,0.1
20251111T165803_protect4solidwire_hallrog_resandinduc900_arc,213,10,CWT,solidsingle,RL,16,1,-0.1,0.1
20251111T165836_protect4solidwire_hallrog_resandinduc800_noarc,214,10,CWT,solidsingle,RL,16,0,-0.1,0.1
20251111T165858_protect4solidwire_hallrog_resandinduc800_arc,215,10,CWT,solidsingle,RL,16,1,-0.1,0.1
20251111T165937_protect4solidwire_hallrog_res500_noarc,216,10,CWT,solidsingle,R,16,0,-0.1,0.1
20251111T170005_protect4solidwire_hallrog_res500_arc,217,10,CWT,solidsingle,R,16,1,-0.1,0.1
20251111T170035_protect4solidwire_hallrog_res700_noarc,218,10,CWT,solidsingle,R,16,0,-0.1,0.1
20251111T170109_protect4solidwire_hallrog_res700_arc,219,10,CWT,solidsingle,R,16,1,-0.1,0.1
20251111T170137_protect4solidwire_hallrog_res800_noarc,220,10,CWT,solidsingle,R,16,0,-0.1,0.1
20251111T170202_protect4solidwire_hallrog_res800_arc,221,10,CWT,solidsingle,R,16,1,-0.1,0.06
20251111T170239_protect4solidwire_hallrog_res1000_noarc,222,10,CWT,solidsingle,R,16,0,-0.1,0.1
20251111T170311_protect4solidwire_hallrog_res1000_arc,223,10,CWT,solidsingle,R,16,1,-0.06,0.1
