name,arc,tstart,tstop
125_RL_solidsingle_10_10_1,1,-0.1,0.1
126_RL_solidsingle_10_10_1,1,-0.08,0.1
127_RL_solidsingle_10_10_1,1,-0.1,0.1
128_RL_solidsingle_10_10_1,1,-0.04,0.1
129_RL_solidsingle_11_10_0,0,0.1,0.1
130_RL_solidsingle_11_10_1,1,0.1,0.1
131_RL_solidsingle_11_10_0,0,0.1,0.1
132_RL_solidsingle_11_10_0,0,0.1,0.1
133_RL_solidsingle_11_10_1,1,-0.04,0.1
134_RL_solidsingle_11_10_0,0,-0.1,0.1
135_R_solidsingle_11_10_0,0,-0.1,0.1
136_R_solidsingle_11_10_1,1,-0.01,0.1
137_R_solidsingle_11_10_0,0,-0.1,0.1
138_R_solidsingle_11_10_1,1,-0.1,0.08
139_R_solidsingle_11_10_0,0,-0.1,0.1
140_R_solidsingle_11_10_1,1,-0.1,0.06
141_R_solidsingle_11_10_0,0,-0.1,0.1
142_R_solidsingle_11_10_1,1,-0.08,0.1
143_R_solidsingle_11_10_0,0,-0.1,0.1
144_R_solidsingle_11_10_1,1,-0.05,0.07
145_R_solidsingle_12_10_0,0,-0.1,0.1
146_R_solidsingle_12_10_1,1,-0.1,0.06
147_R_solidsingle_12_10_0,0,-0.1,0.1
148_R_solidsingle_12_10_1,1,-0.1,0.1
149_R_solidsingle_12_10_1,1,-0.1,0.1
150_R_solidsingle_12_10_0,0,-0.1,0.1
151_R_solidsingle_12_10_1,1,-0.1,0.1
152_RL_solidsingle_12_10_0,0,-0.1,0.1
153_RL_solidsingle_12_10_1,1,-0.02,0.1
154_RL_solidsingle_12_10_0,0,-0.1,0.1
155_RL_solidsingle_12_10_1,1,-0.1,0.1
156_RL_solidsingle_12_10_0,0,-0.1,0.1
157_RL_solidsingle_12_10_1,1,-0.1,0.1
158_RL_solidsingle_12_10_0,0,-0.1,0.1
159_RL_solidsingle_12_10_1,1,-0.1,0.1
160_RL_solidsingle_12_10_0,0,-0.1,0.1
161_RL_solidsingle_12_10_1,1,-0.1,0.1
162_R_solidsingle_13_10_0,0,-0.1,0.1
163_R_solidsingle_13_10_0,0,-0.1,0.1
164_R_solidsingle_13_10_1,1,-0.1,0.1
165_R_solidsingle_13_10_1,1,-0.01,0.1
166_R_solidsingle_13_10_0,0,-0.1,0.1
167_R_solidsingle_13_10_1,1,-0.1,0.1
168_R_solidsingle_13_10_0,0,-0.1,0.1
169_RL_solidsingle_13_10_0,0,-0.1,0.1
170_RL_solidsingle_13_10_1,1,-0.1,0.04
171_RL_solidsingle_13_10_0,0,-0.1,0.1
172_RL_solidsingle_13_10_1,1,-0.1,0.1
173_RL_solidsingle_13_10_0,0,-0.1,0.1
174_RL_solidsingle_13_10_1,1,-0.1,0.04
175_RL_solidsingle_14_10_0,0,-0.1,0.1
176_RL_solidsingle_14_10_1,1,-0.1,0.1
177_RL_solidsingle_14_10_0,0,-0.1,0.1
178_RL_solidsingle_14_10_1,1,0.08,0.1
179_RL_solidsingle_14_10_0,0,-0.1,0.1
180_RL_solidsingle_14_10_1,1,-0.1,0.1
181_RL_solidsingle_14_10_0,0,-0.1,0.1
182_RL_solidsingle_14_10_1,1,-0.1,0.1
183_R_solidsingle_14_10_0,0,-0.1,0.1
184_R_solidsingle_14_10_1,1,-0.1,0.06
185_R_solidsingle_14_10_0,0,-0.1,0.1
186_R_solidsingle_14_10_1,1,-0.1,0.1
187_R_solidsingle_14_10_0,0,-0.1,0.1
188_R_solidsingle_14_10_1,1,-0.07,0.1
189_R_solidsingle_14_10_0,0,-0.1,0.1
190_R_solidsingle_14_10_1,1,-0.1,0.1
191_R_solidsingle_14_10_0,0,-0.1,0.1
192_R_solidsingle_14_10_1,1,-0.1,0.1
193_R_solidsingle_15_10_0,0,-0.1,0.1
194_R_solidsingle_15_10_1,1,-0.1,0.1
195_R_solidsingle_15_10_0,0,-0.1,0.1
196_R_solidsingle_15_10_1,1,-0.1,0.1
197_R_solidsingle_15_10_0,0,-0.1,0.1
198_R_solidsingle_15_10_1,1,-0.05,0.1
199_R_solidsingle_15_10_0,0,-0.1,0.1
200_RL_solidsingle_15_10_0,0,-0.1,0.1
201_RL_solidsingle_15_10_1,1,-0.1,0.1
202_RL_solidsingle_15_10_0,0,-0.1,0.1
203_RL_solidsingle_15_10_1,1,-0.1,0.1
204_RL_solidsingle_15_10_0,0,-0.1,0.1
205_RL_solidsingle_15_10_1,1,-0.06,0.0
206_RL_solidsingle_16_10_0,0,-0.1,0.1
207_RL_solidsingle_16_10_1,1,-0.04,0.1
208_RL_solidsingle_16_10_0,0,-0.1,0.1
209_RL_solidsingle_16_10_1,1,-0.1,0.1
210_RL_solidsingle_16_10_0,0,-0.1,0.1
211_RL_solidsingle_16_10_1,1,-0.1,0.1
212_RL_solidsingle_16_10_0,0,-0.1,0.1
213_RL_solidsingle_16_10_1,1,-0.1,0.1
214_RL_solidsingle_16_10_0,0,-0.1,0.1
215_RL_solidsingle_16_10_1,1,-0.1,0.1
216_R_solidsingle_16_10_0,0,-0.1,0.1
217_R_solidsingle_16_10_1,1,-0.1,0.1
218_R_solidsingle_16_10_0,0,-0.1,0.1
219_R_solidsingle_16_10_1,1,-0.1,0.1
220_R_solidsingle_16_10_0,0,-0.1,0.1
221_R_solidsingle_16_10_1,1,-0.1,0.06
222_R_solidsingle_16_10_0,0,-0.1,0.1
223_R_solidsingle_16_10_1,1,-0.06,0.1
224_cleaner_solidsingle_1_10_0,0,-0.1,0.1
225_cleaner_solidsingle_12_10_1,1,-0.09,0.05
226_cleaner_solidsingle_12_10_1,1,-0.1,0.05
227_cleaner_solidsingle_12_10_1,1,-0.1,0.1
228_cleaner_solidsingle_12_10_1,1,-0.1,0.06
229_cleaner_solidsingle_12_10_1,1,-0.1,0.01
230_cleaner_solidsingle_10_10_0,0,-0.1,0.1
231_cleaner_solidsingle_10_10_1,1,-0.1,0.1
232_cleaner_solidsingle_10_10_1,1,0.0,0.1
233_cleaner_solidsingle_11_10_0,0,-0.1,0.1
234_cleaner_solidsingle_11_10_1,1,-0.1,0.1
235_cleaner_solidsingle_11_10_1,1,-0.1,0.1
236_cleaner_solidsingle_1_10_0,0,-0.1,0.1
237_cleaner_solidsingle_1_10_1,1,-0.1,0.1
238_cleaner_solidsingle_1_10_1,1,-0.1,0.1
239_cleaner_solidsingle_1_10_1,1,-0.1,0.1
240_cleaner_solidsingle_1_10_1,1,-0.08,0.1
241_cleaner_solidsingle_1_10_1,1,-0.1,0.1
242_cleaner_solidsingle_1_10_1,1,-0.1,0.1
243_cleaner_solidsingle_1_10_1,1,-0.1,0.1
244_cleaner_solidsingle_1_10_1,1,-0.1,0.1
245_cleaner_solidsingle_1_10_1,1,-0.1,0.1
246_cleaner_solidsingle_9_10_0,0,-0.1,0.1
247_cleaner_solidsingle_9_10_1,1,0.0,0.1
248_cleaner_solidsingle_9_10_1,1,-0.1,0.1
249_cleaner_solidsingle_9_10_1,1,-0.1,0.02
250_cleaner_solidsingle_7_10_0,0,-0.1,0.1
251_cleaner_solidsingle_7_10_1,1,-0.1,0.04
252_drill_solidsingle_1_10_0,0,-0.1,0.1
253_drill_solidsingle_1_10_0,0,-0.1,0.1
254_drill_solidsingle_1_10_0,0,-0.1,0.1
255_drill_solidsingle_1_10_0,0,-0.1,0.1
256_drill_solidsingle_1_10_0,0,-0.1,0.1
257_drill_solidsingle_10_10_1,1,-0.1,0.06
258_drill_solidsingle_10_10_1,1,-0.1,0.1
259_drill_solidsingle_10_10_1,1,-0.1,0.1
260_drill_solidsingle_6_10_1,1,-0.1,0.1
261_drill_solidsingle_6_10_1,1,-0.1,0.1
262_drill_solidsingle_6_10_1,1,-0.1,0.1
263_drill_solidsingle_1_10_1,1,-0.1,0.1
264_drill_solidsingle_1_10_1,1,-0.1,0.1
265_drill_solidsingle_1_10_1,1,-0.1,0.1
266_drill_solidsingle_7_10_1,1,-0.1,0.1
267_drill_solidsingle_7_10_1,1,-0.1,0.1
268_drill_solidsingle_7_10_1,1,-0.1,0.1
269_drill_solidsingle_3_10_1,1,-0.1,0.1
270_drill_solidsingle_3_10_1,1,0.0,0.1
271_drill_solidsingle_3_10_1,1,-0.04,0.1
272_drill_solidsingle_2_10_1,1,-0.06,0.1
273_drill_solidsingle_1_10_0,0,0.0,0.2
274_RC_solidsingle_10_10_0,0,-0.1,0.1
275_RC_solidsingle_10_10_1,1,-0.1,0.1
276_RC_solidsingle_10_10_1,1,-0.1,0.1
277_RC_solidsingle_10_10_1,1,-0.1,0.1
278_RC_solidsingle_1_10_1,1,-0.1,0.1
279_RC_solidsingle_1_10_1,1,-0.06,0.1
280_RC_solidsingle_1_10_1,1,-0.1,0.1
281_RC_solidsingle_3_10_1,1,-0.1,0.1
282_RC_solidsingle_3_10_1,1,-0.1,0.1
283_RC_solidsingle_3_10_1,1,-0.1,0.1
284_RC_solidsingle_4_10_1,1,-0.06,0.1
285_RC_solidsingle_4_10_1,1,-0.1,0.1
286_RC_solidsingle_4_10_1,1,-0.1,0.1
287_drill2_solidsingle_10_10_0,0,-0.1,0.1
288_drill2_solidsingle_10_10_0,0,-0.1,0.1
289_drill2_solidsingle_10_10_1,1,-0.04,0.1
290_drill2_solidsingle_10_10_0,0,0.0,0.2
291_drill2_solidsingle_10_10_1,1,0.05,0.2
